Province,District,Candidate,Residence,Occupation,Number of Votes,Number of Votes Percent,Number Majority,Majority Percent
"Alberta","Calgary South Centre/Calgary-Centre-Sud","Lee Richardson Conservative/conservateur","Calgary, Alta/Alb.","Business Person/Homme d'affaires",26192,51.16,     10887,  21.3
"Alberta","Calgary South Centre/Calgary-Centre-Sud","Julia Turnbull Liberal/Libéral","Calgary, Alta/Alb.","Lawyer/Avocate",15305,29.89,,
"Alberta","Calgary South Centre/Calgary-Centre-Sud","Phillip K. Liesemer Green Party/Parti Vert","Calgary, Alta/Alb.","Front of House Manager/Arts Administrator /Dir. admin./admin. d'activités artistiques",5080,9.92,,
"Alberta","Calgary South Centre/Calgary-Centre-Sud","Keith Purdy N.D.P./N.P.D.","Calgary, Alta/Alb.","Labourer/Manoeuvre ",4350,8.5,,
"Alberta","Calgary South Centre/Calgary-Centre-Sud","Trevor Grover Canadian Action/Action canadienne","Calgary, Alta/Alb.","Instructor/Instructeur ",274,.54,,
"Alberta","Calgary Southeast/Calgary-Sud-Est","Jason Kenney ** Conservative/conservateur","Calgary, Alta/Alb.","Parliamentarian/Parlementaire",36843,71,     28355,  54.6
"Alberta","Calgary Southeast/Calgary-Sud-Est","Jim Tanner Liberal/Libéral","Calgary, Alta/Alb.","Economist/Économiste",8488,16.36,,
"Alberta","Calgary Southeast/Calgary-Sud-Est","Brian Pincott N.D.P./N.P.D.","Calgary, Alta/Alb.","Production Manager/Gestionnaire de la production",3419,6.59,,
"Alberta","Calgary Southeast/Calgary-Sud-Est","George Read Green Party/Parti Vert","Calgary, Alta/Alb.","Purchaser/Acheteur",3142,6.05,,
"Alberta","Calgary Southwest/Calgary-Sud-Ouest","Stephen J. Harper ** Conservative/conservateur","Calgary, Alta/Alb.","Economist/Économiste",35297,68.36,     25796,  50.0
"Alberta","Calgary Southwest/Calgary-Sud-Ouest","Avalon Roberts Liberal/Libéral","Calgary, Alta/Alb.","Physician/Psychiatrist/Médecin/psychiatre",9501,18.4,,
"Alberta","Calgary Southwest/Calgary-Sud-Ouest","Darcy Kraus Green Party/Parti Vert","Calgary, Alta/Alb.","Salesperson/Vendeur",3210,6.22,,
"Alberta","Calgary Southwest/Calgary-Sud-Ouest","Daria Fox N.D.P./N.P.D.","Calgary, Alta/Alb.","Examination Centre Administrator/Administratrice de centre d'examens",2884,5.59,,
"Alberta","Calgary Southwest/Calgary-Sud-Ouest","Mark de Pelham Marijuana Party/Parti Marijuana","Calgary, Alta/Alb.","Student/Étudiant",516,1,,
"Alberta","Calgary Southwest/Calgary-Sud-Ouest","Larry R. Heather Christian Heritage Party/Parti de l'Héritage Chrétien","Calgary, Alta/Alb.","Shipper/Receiver/Expéditeur/réceptionnaire",229,.44,,
"Alberta","Calgary West/Calgary-Ouest","Rob Anders ** Conservative/conservateur","Calgary, Alta/Alb.","Parliamentarian/Parlementaire",31322,55.9,     14920,  26.6
"Alberta","Calgary West/Calgary-Ouest","Justin Thompson Liberal/Libéral","Calgary, Alta/Alb.","Manager/Gestionnaire",16402,29.27,,
"Alberta","Calgary West/Calgary-Ouest","Danielle Roberts Green Party/Parti Vert","Calgary, Alta/Alb.","Student/Étudiante",4274,7.63,,
"Alberta","Calgary West/Calgary-Ouest","Tim Patterson N.D.P./N.P.D.","Calgary, Alta/Alb.","Student/Étudiant ",3632,6.48,,
"Alberta","Calgary West/Calgary-Ouest","James S. Kohut Canadian Action/Action canadienne","Calgary, Alta/Alb.","Junior Surveyor/Arpenteur subalterne",315,.56,,
"Alberta","Calgary West/Calgary-Ouest","André Vachon Marxist-Leninist/Marxiste-Léniniste","Calgary, Alta/Alb.","Construction Worker/Travailleur de la construction",87,.16,,
"Alberta","Crowfoot","Kevin Sorenson ** Conservative/conservateur","Killam, Alta/Alb.","Parliamentarian/Parlementaire",37649,80.21,     34034,  72.5
"Alberta","Crowfoot","Adam Campbell Liberal/Libéral","Rosalind, Alta/Alb.","Farmer/Agriculteur",3615,7.7,,
"Alberta","Crowfoot","Ellen Parker N.D.P./N.P.D.","Camrose, Alta/Alb.","Educator/Éducatrice",3241,6.9,,
"Alberta","Crowfoot","Arnold Baker Green Party/Parti Vert","Edmonton, Alta/Alb.","Teacher (Retired)/Farmer /Enseignant (retraité)/agriculteur",1795,3.82,,
"Alberta","Crowfoot","Max Leonard Cornelssen Marijuana Party/Parti Marijuana","Sherwood Park, Alta/Alb.","Hemp Advocate/Promoteur du chanvre",639,1.36,,
"Alberta","Edmonton--Beaumont","David Kilgour ** Liberal/Libéral","Edmonton, Alta/Alb.","Parliamentarian/Parlementaire",17555,42.82,       134,   0.3
"Alberta","Edmonton--Beaumont","Tim Uppal Conservative/conservateur","Edmonton, Alta/Alb.","Bank Manager/Directeur de banque",17421,42.49,,
"Alberta","Edmonton--Beaumont","Paul Reikie N.D.P./N.P.D.","Edmonton, Alta/Alb.","Driver/Chauffeur",3975,9.7,,
"Alberta","Edmonton--Beaumont","Michael Garfinkle Green Party/Parti Vert","Edmonton, Alta/Alb.","Art Historian/Historien de l'art",1911,4.66,,
"Alberta","Edmonton--Beaumont","Naomi Rankin Communist/Communiste","Edmonton, Alta/Alb.","Computer Programmer/Programmeuse d'ordinateur",135,.33,,
"Alberta","Edmonton Centre/Edmonton-Centre","Anne McLellan ** Liberal/Libéral","Edmonton, Alta/Alb.","Teacher/Enseignante",22560,42.5,       721,   1.4
"Alberta","Edmonton Centre/Edmonton-Centre","Laurie Hawn Conservative/conservateur","Edmonton, Alta/Alb.","Business Person/Homme d'affaires ",21839,41.14,,
"Alberta","Edmonton Centre/Edmonton-Centre","Meghan McMaster N.D.P./N.P.D.","Edmonton, Alta/Alb.","Dietary Aide/Aide-diététicienne",4836,9.11,,
"Alberta","Edmonton Centre/Edmonton-Centre","David J. Parker Green Party/Parti Vert","Edmonton, Alta/Alb.","NAIT Instructor/Instructeur au NAIT",2584,4.87,,
"Alberta","Edmonton Centre/Edmonton-Centre","Lyle Kenny Marijuana Party/Parti Marijuana","Edmonton, Alta/Alb.","Labourer/Manoeuvre",509,.96,,
"Alberta","Edmonton Centre/Edmonton-Centre","Sean Tisdall PC Party/Parti PC","Edmonton, Alta/Alb.","Student/Étudiant",456,.86,,
"Alberta","Edmonton Centre/Edmonton-Centre","John Baloun Independent/Indépendant","Edmonton, Alta/Alb.","Marketing/General Manager/Mise en marché/gestionnaire ",221,.42,,
"Alberta","Edmonton Centre/Edmonton-Centre","Peggy Morton Marxist-Leninist/Marxiste-Léniniste","Edmonton, Alta/Alb.","Political Organizer/Organisatrice politique",78,.15,,
"Alberta","Edmonton East/Edmonton-Est","Peter Goldring ** Conservative/conservateur","Edmonton, Alta/Alb.","Parliamentarian/Parlementaire",20224,46.02,      5974,  13.6
"Alberta","Edmonton East/Edmonton-Est","John Bethel Liberal/Libéral","Edmonton, Alta/Alb.","Management Consultant/Conseiller en gestion",14250,32.43,,
"Alberta","Edmonton East/Edmonton-Est","Janina Strudwick N.D.P./N.P.D.","Kincardine, Ont/Ont.","Administrative Assistant/Adjointe administrative",6464,14.71,,
"Alberta","Edmonton East/Edmonton-Est","Harlan Light Green Party/Parti Vert","Edmonton, Alta/Alb.","Journalist/Journaliste",2471,5.62,,
"Alberta","Edmonton East/Edmonton-Est","Ed Spronk Christian Heritage Party/Parti de l'Héritage Chrétien","Edmonton, Alta/Alb.","General Contractor/Entrepreneur général",538,1.22,,
"Alberta","Edmonton--Leduc","James Rajotte ** Conservative/conservateur","Edmonton, Alta/Alb.","Parliamentarian/Parlementaire",26791,55.05,     12522,  25.7
"Alberta","Edmonton--Leduc","Bruce King Liberal/Libéral","Edmonton, Alta/Alb.","Lawyer/Avocat",14269,29.32,,
"Alberta","Edmonton--Leduc","Doug McLachlan N.D.P./N.P.D.","Edmonton, Alta/Alb.","Lawyer/Avocat",4581,9.41,,
"Alberta","Edmonton--Leduc","Bruce Sinclair Green Party/Parti Vert","Leduc, Alta/Alb.","Pilot/Pilote",3029,6.22,,
"Alberta","Edmonton--St. Albert","John Williams ** Conservative/conservateur","Morinville, Alta/Alb.","Parliamentarian/Parlementaire",29508,57.65,     17149,  33.5
"Alberta","Edmonton--St. Albert","Moe Saeed Liberal/Libéral","Edmonton, Alta/Alb.","Senior Development Officer/Agent principal de développement ",12359,24.15,,
"Alberta","Edmonton--St. Albert","Mike Melymick N.D.P./N.P.D.","Edmonton, Alta/Alb.","Conductor/Conducteur",5927,11.58,,
"Alberta","Edmonton--St. Albert","Conrad A. Bitangcol Green Party/Parti Vert","St. Albert, Alta/Alb.","Business - Estimator/Homme d'affaires/estimateur",3387,6.62,,
"Alberta","Edmonton--Sherwood Park","Ken Epp ** Conservative/conservateur","Sherwood Park, Alta/Alb.","Parliamentarian/Parlementaire",27222,57.87,     15703,  33.4
"Alberta","Edmonton--Sherwood Park","Maureen Towns Liberal/Libéral","Sherwood Park, Alta/Alb.","Lawyer/Avocate",11519,24.49,,
"Alberta","Edmonton--Sherwood Park","Chris Harwood N.D.P./N.P.D.","Edmonton, Alta/Alb.","Delivery Driver/Chauffeur-livreur",5155,10.96,,
"Alberta","Edmonton--Sherwood Park","Margaret Marean Green Party/Parti Vert","Edmonton, Alta/Alb.","Counsellor/Conseillère",3146,6.69,,
"Alberta","Edmonton--Spruce Grove","Rona Ambrose Conservative/conservateur","Edmonton, Alta/Alb.","Policy Analyst/Analyste des politiques",30497,60.4,     17585,  34.8
"Alberta","Edmonton--Spruce Grove","Neil Mather Liberal/Libéral","Edmonton, Alta/Alb.","Consultant/Consultant",12912,25.57,,
"Alberta","Edmonton--Spruce Grove","Hayley Phillips N.D.P./N.P.D.","Edmonton, Alta/Alb.","Student/Étudiante",4508,8.93,,
"Alberta","Edmonton--Spruce Grove","Jerry Paschen Green Party/Parti Vert","Edmonton, Alta/Alb.","Electrical Contractor/Entrepreneur électricien",2572,5.09,,
"Alberta","Edmonton--Strathcona","Rahim Jaffer ** Conservative/conservateur","Edmonton, Alta/Alb.","Parliamentarian/Parlementaire",19089,39.4,      5032,  10.4
"Alberta","Edmonton--Strathcona","Debby Carlson Liberal/Libéral","Edmonton, Alta/Alb.","Parliamentarian/Parlementaire",14057,29.01,,
"Alberta","Edmonton--Strathcona","Malcolm Azania N.D.P./N.P.D.","Edmonton, Alta/Alb.","Teacher/Enseignant",11535,23.81,,
"Alberta","Edmonton--Strathcona","Cameron Wakefield Green Party/Parti Vert","Edmonton, Alta/Alb.","Sales Associate/Adjoint aux ventes",3146,6.49,,
"Alberta","Edmonton--Strathcona","Dave Dowling Marijuana Party/Parti Marijuana","Edmonton, Alta/Alb.","Volunteer, Non-profit Organizations/Bénévole, organismes sans but lucratif",519,1.07,,
"Alberta","Edmonton--Strathcona","Kevan Hunter Marxist-Leninist/Marxiste-Léniniste","Edmonton, Alta/Alb.","Student/Étudiant",103,.21,,
"Alberta","Lethbridge","Rick Casson ** Conservative/conservateur","Picture Butte, Alta/Alb.","Parliamentarian/Parlementaire",29765,62.62,     19515,  41.1
"Alberta","Lethbridge","Ken Nicol Liberal/Libéral","Lethbridge, Alta/Alb.","Parliamentarian/Parlementaire",10250,21.56,,
"Alberta","Lethbridge","Melanee Thomas N.D.P./N.P.D.","Granum, Alta/Alb.","Student/Étudiante",4623,9.73,,
"Alberta","Lethbridge","Erin Marie Matthews Green Party/Parti Vert","Lethbridge, Alta/Alb.","Student/Étudiante",1262,2.66,,
"Alberta","Lethbridge","Ken Vanden Broek Christian Heritage Party/Parti de l'Héritage Chrétien","Shaughnessy, Alta/Alb.","Excavating Contractor/Entrepreneur en excavation",1079,2.27,,
"Alberta","Lethbridge","Dustin Sobie Marijuana Party/Parti Marijuana","Lethbridge, Alta/Alb.","Student/Étudiant",553,1.16,,
"Alberta","Macleod","Ted Menzies Conservative/conservateur","Claresholm, Alta/Alb.","Farmer/Agriculteur",32232,74.76,     27018,  62.7
"Alberta","Macleod","Chris Shade Liberal/Libéral","Cardston, Alta/Alb.","Chief/Chef  ",5214,12.09,,
"Alberta","Macleod","Laurel Denise Fadeeff Green Party/Parti Vert","Stavely, Alta/Alb.","Draftsperson/Dessinatrice",2865,6.65,,
"Alberta","Macleod","Joyce Thomas N.D.P./N.P.D.","Granum, Alta/Alb.","Farmer/Registered Nurse/Agricultrice/infirmière autorisée",2802,6.5,,
"Alberta","Medicine Hat","Monte Kenton Solberg ** Conservative/conservateur","Brooks, Alta/Alb.","Parliamentarian/Parlementaire",30241,76.15,     25910,  65.2
"Alberta","Medicine Hat","Bill Cocks Liberal/Libéral","Medicine Hat, Alta/Alb.","Lawyer/Avocat",4331,10.91,,
"Alberta","Medicine Hat","Betty Stroh N.D.P./N.P.D.","Medicine Hat, Alta/Alb.","Programs Facilitator/Animatrice de programmes",3643,9.17,,
"Alberta","Medicine Hat","Kevin Dodd Green Party/Parti Vert","Suffield, Alta/Alb.","Consultant/Truck Driver/Consultant/camionneur",1498,3.77,,
"Alberta","Peace River","Charlie Penson ** Conservative/conservateur","Sexsmith, Alta/Alb.","Farmer/Agriculteur",28158,65.13,     19958,  46.2
"Alberta","Peace River","Lyle Carlstrom Liberal/Libéral","Grande Prairie, Alta/Alb.","Business Person/Homme d'affaires",8200,18.97,,
"Alberta","Peace River","Susan Thompson N.D.P./N.P.D.","Peace River, Alta/Alb.","Freelance Writer/Journalist/Journaliste/rédactrice pigiste",4804,11.11,,
"Alberta","Peace River","Benjamin Morrison Pettit Green Party/Parti Vert","Edmonton, Alta/Alb.","Professional Engineer/Ingénieur",2073,4.79,,
"Alberta","Red Deer","Bob Mills ** Conservative/conservateur","Red Deer, Alta/Alb.","Business Person/Homme d'affaires",33510,74.8,     28216,  63.0
"Alberta","Red Deer","Luke Kurata Liberal/Libéral","Red Deer, Alta/Alb.","Crown Prosecutor/Procureur de la Couronne",5294,11.82,,
"Alberta","Red Deer","Jeff Sloychuk N.D.P./N.P.D.","Red Deer, Alta/Alb.","Sales and Marketing Associate/Associé aux ventes et à la mise en marché",3500,7.81,,
"Alberta","Red Deer","Garfield John Marks Green Party/Parti Vert","Red Deer, Alta/Alb.","Production Tester/Essayeur de production",2142,4.78,,
"Alberta","Red Deer","Teena Cormack Canadian Action/Action canadienne","Bentley, Alta/Alb.","Homemaker/Femme au foyer",353,.79,,
"Alberta","Vegreville--Wainwright","Leon E. Benoit ** Conservative/conservateur","Vermilion, Alta/Alb.","Parliamentarian/Parlementaire",33800,73.54,     28410,  61.8
"Alberta","Vegreville--Wainwright","Duff Stewart Liberal/Libéral","Lloydminster, Alta/Alb.","Teacher/Enseignant",5390,11.73,,
"Alberta","Vegreville--Wainwright","Len Legault N.D.P./N.P.D.","Chauvin, Alta/Alb.","Farmer/Agriculteur",3793,8.25,,
"Alberta","Vegreville--Wainwright","James Kenney Green Party/Parti Vert","Wainwright, Alta/Alb.","Pastor/Pasteur",2976,6.48,,
"Alberta","Westlock--St. Paul","Dave Chatters ** Conservative/conservateur","Jarvie, Alta/Alb.","Parliamentarian/Parlementaire",26433,66.8,     18814,  47.5
"Alberta","Westlock--St. Paul","Joe Dion Liberal/Libéral","Kehewin, Alta/Alb.","Consultant/Consultant",7619,19.26,,
"Alberta","Westlock--St. Paul","Peggy Kirkeby N.D.P./N.P.D.","Morinville, Alta/Alb.","Truck Driver/Camionneuse",3480,8.79,,
"Alberta","Westlock--St. Paul","John A. McDonald Green Party/Parti Vert","Gibbons, Alta/Alb.","Retired/Retraité",2036,5.15,,
"Alberta","Wetaskiwin","Dale Johnston ** Conservative/conservateur","Ponoka, Alta/Alb.","Farmer/Agriculteur",31404,73.66,     26316,  61.7
"Alberta","Wetaskiwin","Rick Bonnett Liberal/Libéral","Ponoka, Alta/Alb.","Farmer/Agriculteur",5088,11.93,,
"Alberta","Wetaskiwin","Tim Robson N.D.P./N.P.D.","Wetaskiwin, Alta/Alb.","Salesperson/Vendeur",3090,7.25,,
"Alberta","Wetaskiwin","Tom Lampman Green Party/Parti Vert","Calmar, Alta/Alb.","Agricultural Consultant/Conseiller agricole",2642,6.2,,
"Alberta","Wetaskiwin","Brent McKelvie Canadian Action/Action canadienne","Ponoka, Alta/Alb.","Farmer/Agriculteur",410,.96,,
"Alberta","Wild Rose","Myron Thompson ** Conservative/conservateur","Sundre, Alta/Alb.","Parliamentarian/Parlementaire",33337,70.6,     27366,  58.0
"Alberta","Wild Rose","Judy Stewart Liberal/Libéral","Cochrane, Alta/Alb.","Lawyer/Avocate",5971,12.64,,
"Alberta","Wild Rose","Jeff Horvath N.D.P./N.P.D.","Canmore, Alta/Alb.","Teacher/Enseignant",4009,8.49,,
"Alberta","Wild Rose","Chris Foote Green Party/Parti Vert","Banff, Alta/Alb.","Taxi Driver/Chauffeur de taxi",3904,8.27,,
"Alberta","Yellowhead","Rob Merrifield ** Conservative/conservateur","Whitecourt, Alta/Alb.","Parliamentarian/Parlementaire",26503,68.61,     22062,  57.1
"Alberta","Yellowhead","Peter Crossley Liberal/Libéral","Rocky Mountain House, Alta/Alb.","Lawyer/Avocat",4441,11.5,,
"Alberta","Yellowhead","Noel Lapierre N.D.P./N.P.D.","Hinton, Alta/Alb.","Millwright/Monteur de machinerie",4429,11.47,,
"Alberta","Yellowhead","Eric Stieglitz Green Party/Parti Vert","Edmonton, Alta/Alb.","Manager/Gestionnaire",2534,6.56,,
"Alberta","Yellowhead","Jacob Strydhorst Christian Heritage Party/Parti de l'Héritage Chrétien","Neerlandia, Alta/Alb.","Dairy and Grain Farmer/Exploitant de ferme laitière/prod. de céréales",721,1.87,,
"British Columbia/Colombie-Britannique","Abbotsford","Randy White ** Conservative/conservateur","Abbotsford, BC/C.-B.","Accountant/Comptable",29587,61.37,     19970,  41.4
"British Columbia/Colombie-Britannique","Abbotsford","Moe Gill Liberal/Libéral","Abbotsford, BC/C.-B.","Farmer/Agriculteur",9617,19.95,,
"British Columbia/Colombie-Britannique","Abbotsford","Scott Fast N.D.P./N.P.D.","Abbotsford, BC/C.-B.","University Instructor/Chargé d'enseignement à l'université",6575,13.64,,
"British Columbia/Colombie-Britannique","Abbotsford","Karl Hann Green Party/Parti Vert","Abbotsford, BC/C.-B.","Farm Worker/Travailleur agricole",1389,2.88,,
"British Columbia/Colombie-Britannique","Abbotsford","Harold J. Ludwig Christian Heritage Party/Parti de l'Héritage Chrétien","Abbotsford, BC/C.-B.","Program Director/Directeur de programme",585,1.21,,
"British Columbia/Colombie-Britannique","Abbotsford","Tim Felger Marijuana Party/Parti Marijuana","Abbotsford, BC/C.-B.","Farmer/Agriculteur",404,.84,,
"British Columbia/Colombie-Britannique","Abbotsford","David MacKay Marxist-Leninist/Marxiste-Léniniste","Vancouver, BC/C.-B.","ESL Instructor/Enseignant de l'anglais, langue seconde",51,.11,,
"British Columbia/Colombie-Britannique","Burnaby--Douglas","Bill Siksay N.D.P./N.P.D.","Vancouver, BC/C.-B.","Parliamentary Assistant/Adjoint parlementaire",15682,34.59,       934,   2.1
"British Columbia/Colombie-Britannique","Burnaby--Douglas","Bill Cunningham Liberal/Libéral","Burnaby, BC/C.-B.","Commercial Banker/Banquier commercial",14748,32.53,,
"British Columbia/Colombie-Britannique","Burnaby--Douglas","George Drazenovic Conservative/conservateur","Vancouver, BC/C.-B.","Accountant/Comptable",12531,27.64,,
"British Columbia/Colombie-Britannique","Burnaby--Douglas","Shawn Hunsdale Green Party/Parti Vert","Burnaby, BC/C.-B.","Student/Étudiant",1687,3.72,,
"British Columbia/Colombie-Britannique","Burnaby--Douglas","Adam Desaulniers Libertarian/Libertarien","Vancouver, BC/C.-B.","Programmer/Programmeur",291,.64,,
"British Columbia/Colombie-Britannique","Burnaby--Douglas","Frank Cerminara Independent/Indépendant","Burnaby, BC/C.-B.","Senior/Personne âgée",282,.62,,
"British Columbia/Colombie-Britannique","Burnaby--Douglas","Hanne Gidora Communist/Communiste","Coquitlam, BC/C.-B.","Nurse/Infirmière",122,.27,,
"British Columbia/Colombie-Britannique","Burnaby--New Westminster","Peter Julian N.D.P./N.P.D.","New Westminster, BC/C.-B.","Financial Administrator/Administrateur des finances",14061,33.72,       329,   0.8
"British Columbia/Colombie-Britannique","Burnaby--New Westminster","Mary Pynenburg Liberal/Libéral","New Westminster, BC/C.-B.","City Planner/Urbaniste",13732,32.93,,
"British Columbia/Colombie-Britannique","Burnaby--New Westminster","Mike Redmond Conservative/conservateur","New Westminster, BC/C.-B.","Lawyer/Avocat",11821,28.35,,
"British Columbia/Colombie-Britannique","Burnaby--New Westminster","Revel Kunz Green Party/Parti Vert","Vancouver, BC/C.-B.","B & B Owner/Propriétaire de gîte du passant",1606,3.85,,
"British Columbia/Colombie-Britannique","Burnaby--New Westminster","Dana Green Canadian Action/Action canadienne","Vancouver, BC/C.-B.","Executive Secretary/Secrétaire de direction",312,.75,,
"British Columbia/Colombie-Britannique","Burnaby--New Westminster","Péter Pál Horváth Communist/Communiste","Burnaby, BC/C.-B.","Restaurant Owner/Propriétaire de restaurant",166,.4,,
"British Columbia/Colombie-Britannique","Cariboo--Prince George","Dick Harris ** Conservative/conservateur","Prince George, BC/C.-B.","Parliamentarian/Parlementaire",19721,46.72,      8538,  20.2
"British Columbia/Colombie-Britannique","Cariboo--Prince George","Rick Smith N.D.P./N.P.D.","Prince George, BC/C.-B.","Lawyer/Avocat",11183,26.49,,
"British Columbia/Colombie-Britannique","Cariboo--Prince George","Gurbux Saini Liberal/Libéral","Williams Lake, BC/C.-B.","Business Person/Homme d'affaires",8397,19.89,,
"British Columbia/Colombie-Britannique","Cariboo--Prince George","Douglas Gook Green Party/Parti Vert","Quesnel, BC/C.-B.","Eco-Forestry Consultant/Conseiller en écoforesterie",1798,4.26,,
"British Columbia/Colombie-Britannique","Cariboo--Prince George","Mike Orr Independent/Indépendant","Riske Creek, BC/C.-B.","Handyman/Homme à tout faire",478,1.13,,
"British Columbia/Colombie-Britannique","Cariboo--Prince George","Bev Collins Canadian Action/Action canadienne","Prince George, BC/C.-B.","Facilitator/Animatrice  ",408,.97,,
"British Columbia/Colombie-Britannique","Cariboo--Prince George","Jeff Paetkau Libertarian/Libertarien","Prince George, BC/C.-B.","Student/Étudiant",148,.35,,
"British Columbia/Colombie-Britannique","Cariboo--Prince George","Carol Lee Chapman Marxist-Leninist/Marxiste-Léniniste","Hope, BC/C.-B.","Retired/Retraitée",79,.19,,
"British Columbia/Colombie-Britannique","Chilliwack--Fraser Canyon","Chuck Strahl ** Conservative/conservateur","Chilliwack, BC/C.-B.","Logging Contractor/Entrepreneur en exploitation forestière",24096,53.68,     14852,  33.1
"British Columbia/Colombie-Britannique","Chilliwack--Fraser Canyon","Rollie L. Keith N.D.P./N.P.D.","Chilliwack, BC/C.-B.","Historian/Historien  ",9244,20.59,,
"British Columbia/Colombie-Britannique","Chilliwack--Fraser Canyon","Bob Besner Liberal/Libéral","Chilliwack, BC/C.-B.","Consultant/Consultant",8249,18.38,,
"British Columbia/Colombie-Britannique","Chilliwack--Fraser Canyon","Aisha Coghlan Green Party/Parti Vert","Lillooet, BC/C.-B.","Teacher/Enseignante",1449,3.23,,
"British Columbia/Colombie-Britannique","Chilliwack--Fraser Canyon","Ron Gray Christian Heritage Party/Parti de l'Héritage Chrétien","Abbotsford, BC/C.-B.","Writer/Rédacteur",1156,2.58,,
"British Columbia/Colombie-Britannique","Chilliwack--Fraser Canyon","Norm Siefken Marijuana Party/Parti Marijuana","Chilliwack, BC/C.-B.","X-ray Technician/Technicien en radiologie",603,1.34,,
"British Columbia/Colombie-Britannique","Chilliwack--Fraser Canyon","Dorothy-Jean O'Donnell Marxist-Leninist/Marxiste-Léniniste","Abbotsford, BC/C.-B.","Lawyer/Avocate",95,.21,,
"British Columbia/Colombie-Britannique","Delta--Richmond East/Delta--Richmond-Est","John Cummins ** Conservative/conservateur","Delta, BC/C.-B.","Teacher/Fisher/Enseignant/pêcheur",21308,45.6,      5793,  12.4
"British Columbia/Colombie-Britannique","Delta--Richmond East/Delta--Richmond-Est","Shelley Leonhardt Liberal/Libéral","Richmond, BC/C.-B.","Business Person/Femme d'affaires",15515,33.2,,
"British Columbia/Colombie-Britannique","Delta--Richmond East/Delta--Richmond-Est","Itrath Syed N.D.P./N.P.D.","Richmond, BC/C.-B.","Student/Étudiante",6838,14.63,,
"British Columbia/Colombie-Britannique","Delta--Richmond East/Delta--Richmond-Est","Dana L. Miller Green Party/Parti Vert","Delta, BC/C.-B.","Health Care Worker/Travailleuse de la santé",3066,6.56,,
"British Columbia/Colombie-Britannique","Dewdney--Alouette","Randy Kamp Conservative/conservateur","Maple Ridge, BC/C.-B.","Executive Assistant/Adjoint de direction",18490,38.51,      2797,   5.8
"British Columbia/Colombie-Britannique","Dewdney--Alouette","Mike Bocking N.D.P./N.P.D.","Mission, BC/C.-B.","Journalist/Journaliste",15693,32.68,,
"British Columbia/Colombie-Britannique","Dewdney--Alouette","Blanche Juneau Liberal/Libéral","Harrison Hot Springs, BC/C.-B.","Business Person/Femme d'affaires",10500,21.87,,
"British Columbia/Colombie-Britannique","Dewdney--Alouette","Tammy Lea Meyer Green Party/Parti Vert","Vancouver, BC/C.-B.","Web Developer/Conceptrice de pages Web",2535,5.28,,
"British Columbia/Colombie-Britannique","Dewdney--Alouette","Scott Etches No Affiliation/Aucune appartenance","Mission, BC/C.-B.","Consultant/Consultant",798,1.66,,
"British Columbia/Colombie-Britannique","Esquimalt--Juan de Fuca","Keith Martin ** Liberal/Libéral","Victoria, BC/C.-B.","Medical Doctor /Médecin",19389,35.3,      2568,   4.7
"British Columbia/Colombie-Britannique","Esquimalt--Juan de Fuca","Randall Garrison N.D.P./N.P.D.","Victoria, BC/C.-B.","Criminal Justice Instructor/Instructeur en justice pénale ",16821,30.62,,
"British Columbia/Colombie-Britannique","Esquimalt--Juan de Fuca","John Koury Conservative/conservateur","Shawnigan Lake, BC/C.-B.","Manager/Gestionnaire",13271,24.16,,
"British Columbia/Colombie-Britannique","Esquimalt--Juan de Fuca","Jane Sterk Green Party/Parti Vert","Victoria, BC/C.-B.","Entrepreneur (Retired)/Entrepreneure (retraitée)",5078,9.24,,
"British Columbia/Colombie-Britannique","Esquimalt--Juan de Fuca","Jen Fisher-Bradley Independent/Indépendant","Victoria, BC/C.-B.","Artist/Animator/Artiste/animatrice",229,.42,,
"British Columbia/Colombie-Britannique","Esquimalt--Juan de Fuca","Shawn  W. Giles Canadian Action/Action canadienne","Victoria, BC/C.-B.","Customer Service /Service à la clientèle",141,.26,,
"British Columbia/Colombie-Britannique","Fleetwood--Port Kells","Nina Grewal Conservative/conservateur","Surrey, BC/C.-B.","Sales Manager/Gestionnaire des ventes",14052,35.8,      2484,   6.3
"British Columbia/Colombie-Britannique","Fleetwood--Port Kells","Gulzar Cheema Liberal/Libéral","Surrey, BC/C.-B.","Physician/Médecin",11568,29.47,,
"British Columbia/Colombie-Britannique","Fleetwood--Port Kells","Barry Bell N.D.P./N.P.D.","Surrey, BC/C.-B.","Painter/Peintre",10976,27.97,,
"British Columbia/Colombie-Britannique","Fleetwood--Port Kells","David Walters Green Party/Parti Vert","Surrey, BC/C.-B.","School Administrator (Self-employed)/Administrateur scolaire (travailleur autonome)",2484,6.33,,
"British Columbia/Colombie-Britannique","Fleetwood--Port Kells","Joseph Theriault Marxist-Leninist/Marxiste-Léniniste","Surrey, BC/C.-B.","Health Care Worker/Travailleur de la santé",167,.43,,
"British Columbia/Colombie-Britannique","Kamloops--Thompson","Betty Hinton ** Conservative/conservateur","Kamloops, BC/C.-B.","Parliamentarian/Parlementaire",20611,40.35,      6177,  12.1
"British Columbia/Colombie-Britannique","Kamloops--Thompson","John O'Fee Liberal/Libéral","Kamloops, BC/C.-B.","Lawyer/Avocat",14434,28.26,,
