Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob D'Eith,Mike Murray,Steve Ranta,Dan Ruimy,Peter Tam,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 107A","Maple Ridge",64,71,4,67,6,1,213,386
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 107B","Maple Ridge",49,63,0,97,9,1,219,443
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 108","Maple Ridge",72,76,7,93,17,0,265,509
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 109","Maple Ridge",60,32,3,80,11,0,186,350
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 110","Maple Ridge",53,85,5,70,15,2,230,379
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 111","Maple Ridge",57,23,2,71,12,0,165,379
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 112A","Maple Ridge",76,75,5,104,18,4,282,555
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 112B","Maple Ridge",Merged with No./Fusionné avec le n°100,,,,,,,18
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 112C","Maple Ridge",Merged with No./Fusionné avec le n°99,,,,,,,269
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 112D","Maple Ridge",Merged with No./Fusionné avec le n°81,,,,,,,14
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 113","Maple Ridge",77,55,4,94,8,0,238,510
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 114","Maple Ridge",95,55,2,108,15,0,275,505
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 115","Maple Ridge",89,89,2,91,12,0,283,481
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 116","Maple Ridge",73,65,3,75,18,1,235,417
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 117","Maple Ridge",96,41,2,77,10,0,226,416
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 118","Maple Ridge",79,66,2,88,15,2,252,460
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 119","Maple Ridge",58,63,2,101,13,0,237,441
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 120","Maple Ridge",87,77,2,98,13,0,277,489
