date,Party,sd
2017-09-24,Liberal,2.438093036893872
2017-09-25,Liberal,2.453888186873444
2017-09-26,Liberal,2.4681483308101293
2017-09-27,Liberal,2.6283737947727026
2017-09-28,Liberal,2.738653165321969
2017-09-29,Liberal,2.8468618663663063
2017-09-30,Liberal,2.8418734114324904
2017-10-01,Liberal,2.893247027621002
2017-10-02,Liberal,2.8161080799663063
2017-10-03,Liberal,2.767873939345011
2017-10-04,Liberal,2.7639000569854977
2017-10-05,Liberal,2.8786714838514085
2017-10-06,Liberal,2.937669818508805
2017-10-07,Liberal,2.9822005813905084
2017-10-08,Liberal,2.786490998923714
2017-10-09,Liberal,2.6462642602432735
2017-10-10,Liberal,2.5128210186082023
2017-10-11,Liberal,2.3607074477657037
2017-10-12,Liberal,2.2357635425351625
2017-10-13,Liberal,2.35546214724893
2017-10-14,Liberal,2.384674603738918
2017-10-15,Liberal,2.403043999932904
2017-10-16,Liberal,2.4405112198795855
2017-10-17,Liberal,2.4543725110117443
2017-10-18,Liberal,2.3936713818496838
2017-10-19,Liberal,2.302559586035462
2017-10-20,Liberal,2.301531997575286
2017-10-21,Liberal,2.2396471754803455
2017-10-22,Liberal,2.205750143960687
2017-10-23,Liberal,2.206740398355277
2017-10-24,Liberal,2.257586088730085
2017-10-25,Liberal,2.146652268500021
2017-10-26,Liberal,2.139102488662663
2017-10-27,Liberal,2.0995433203306995
2017-10-28,Liberal,2.0973718123958998
2017-10-29,Liberal,2.077128774350543
2017-10-30,Liberal,2.0892724385602954
